ID,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATAL,INJURE,ACCIDENT_IDENTIFIER,SYSTEM_PART_INVOLVED,PIPE_FAC_NAME,DESIGNATED_LOCATION,FEDERAL,LOCATION_TYPE,INCIDENT_AREA_TYPE,CROSSING,PIPE_FACILITY_TYPE,INSTALLATION_YEAR,ITEM_INVOLVED,MATERIAL_INVOLVED,RELEASE_TYPE,WILDLIFE_IMPACT_IND,SOIL_CONTAMINATION,WATER_CONTAM_IND,COULD_BE_HCA,COMMODITY_REACHED_HCA,ACCIDENT_PSIG,ACCIDENT_PRESSURE,INTERNAL_INSPECTION_IND,OPERATION_COMPLICATIONS_IND,PIPELINE_FUNCTION,SCADA_IN_PLACE_IND,CPM_IN_PLACE_IND,CAUSE,CAUSE_DETAILS,EST_COST_OPER_PAID,EST_COST_GAS_RELEASED,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,EST_COST_ENVIRONMENTAL,EST_COST_OTHER
0,45.565061,-122.742638,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.9,0.0,0.0,0,0,CONTROLLER,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,WILBRIDGE TERMINAL,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,UNKNOWN,FILTER/STRAINER/SEPARATOR,CARBON STEEL,LEAK-SEAL OR PACKING,NO,YES,NO,YES,YES,151.0,"PRESSURE EXCEEDED MOP, BUT DID NOT EXCEED 110% OF MOP",UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,NO,NO,OTHER ACCIDENT CAUSE,UNKNOWN,0.0,103.0,15000.0,10000.0,0.0,0.0
1,30.549014,-91.168398,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.88,0.0,0.88,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,BATON ROUGE TANK FARM,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,NO,INTERSTATE,1968,VALVE,CARBON STEEL,LEAK-SEAL OR PACKING,NO,NO,NO,YES,NO,18.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0.0,160.0,1000.0,0.0,500.0,0.0
2,29.845391,-94.90882,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.42,8.77,0.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,WEST WINFREE STATION,SURVEY STATION NO.,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTRASTATE,2014,FILTER/STRAINER/SEPARATOR,MATERIAL OTHER THAN CARBON STEEL,LEAK-SEAL OR PACKING,NO,NO,NO,YES,YES,834.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0.0,646.0,2500.0,0.0,0.0,0.0
3,29.845391,-94.90882,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.53,8.77,0.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,WEST WINFREE STATION,SURVEY STATION NO.,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTRASTATE,2014,FILTER/STRAINER/SEPARATOR,MATERIAL OTHER THAN CARBON STEEL,LEAK-SEAL OR PACKING,NO,NO,NO,YES,YES,851.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0.0,594.0,2500.0,0.0,0.0,0.0
5,29.988186,-93.987212,CRUDE OIL,13.0,0.0,13.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,P66 BEAUMONT TERMINAL,MILEPOST,NO,"ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY",TRANSITION AREA,NO,INTERSTATE,2014,RELIEF LINE AND RELIEF EQUIPMENT,CARBON STEEL,LEAK-PINHOLE,NO,NO,NO,YES,YES,13.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,< 20% SMYS REGULATED TRANSMISSION,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,0.0,1040.0,50000.0,95000.0,75000.0,0.0
6,29.059256,-89.301856,CRUDE OIL,25.0,0.0,24.0,0,0,GROUND PATROL BY OPERATOR OR ITS CONTRACTOR,"ONSHORE PIPELINE, INCLUDING VALVE SITES",SOUTH PASS 11 P&Q FACILITY,MILEPOST,NO,"ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY",UNDERGROUND,NO,INTRASTATE,UNKNOWN,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,NO,NO,30.0,PRESSURE DID NOT EXCEED MOP,NO,YES,< 20% SMYS REGULATED TRANSMISSION,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,0.0,136000.0,15000.0,0.0,210000.0,0.0
7,32.268079,-101.405006,CRUDE OIL,3.0,0.0,3.0,0,0,OTHER,"ONSHORE PIPELINE, INCLUDING VALVE SITES",ALON STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTRASTATE,2006,SCRAPER/PIG TRAP,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,YES,NO,35.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,CORROSION FAILURE,INTERNAL CORROSION,0.0,210.0,23100.0,3000.0,6000.0,0.0
8,38.093464,-98.581718,CRUDE OIL,23.0,0.0,20.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,HUDSON STATION,SURVEY STATION NO.,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,NO,INTERSTATE,2011,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,NO,NO,12.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,NO,CORROSION FAILURE,INTERNAL CORROSION,0.0,231.0,12600.0,27900.0,8700.0,0.0
9,40.656517,-74.093464,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,40.0,0.0,25.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,IMTT-BAYONNE YARD 8,SURVEY STATION NO.,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,2009,RELIEF LINE AND RELIEF EQUIPMENT,CARBON STEEL,LEAK-CRACK,NO,YES,NO,YES,NO,125.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,< 20% SMYS REGULATED TRANSMISSION,NO,NO,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,5000.0,10000.0,3500.0,150000.0,0.0
10,33.263307,-92.689986,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,11.57,0.0,0.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","ONSHORE PIPELINE, INCLUDING VALVE SITES",AMMONIA MAINLINE,SURVEY STATION NO.,NO,PIPELINE RIGHT-OF-WAY,UNDERGROUND,NO,INTERSTATE,1969,PIPE,CARBON STEEL,LEAK-OTHER,NO,YES,YES,YES,NO,673.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,MATERIAL FAILURE OF PIPE OR WELD,ORIGINAL MANUFACTURING-RELATED (NOT GIRTH WELD OR OTHER WELDS FORMED IN THE FIELD),0.0,338.0,108800.0,0.0,33000.0,0.0
